Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,15/02/2018 09:49:44,5098248,4,4,291,972,291,0,72.75,145.5,972,0,243.0,486.0,247.7321621075,1.5691665058,728321.142857143,1885675.79837516,5003913,6,94335,31445.0,53602.1346869693,93339,302,5098242,1699414.0,2862408.95434719,5004212,997,0,0,0,0,136,136,0.7845832529,0.7845832529,0,972,140.3333333333,326.3862742212,106528.0,0,0,0,1,0,0,0,0,1,157.875,72.75,243.0,0,0,0,0,0,0,4,291,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5097141,4,4,418,972,418,0,104.5,209.0,972,0,243.0,486.0,272.7018930808,1.5695072983,728163.0,1885269.56246501,5002840,7,94301,31433.6666666667,53279.4736867148,92954,301,5097134,1699044.66666667,2861772.28965712,5003114,1348,0,0,0,0,136,136,0.7847536492,0.7847536492,0,972,154.4444444444,336.30905099,113103.777777778,0,0,0,1,0,0,0,0,1,173.75,104.5,243.0,0,0,0,0,0,0,4,418,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5106735,4,4,674,972,674,0,168.5,337.0,972,0,243.0,486.0,322.3194467698,1.566558672,729533.571428572,1885541.57088442,5004783,7,101952,33984.0,54224.9394006116,96535,285,5106728,1702242.66666667,2860715.1510303,5005096,5417,0,0,0,0,136,136,0.783279336,0.783279336,0,972,182.8888888889,370.4768698733,137253.111111111,0,0,0,1,0,0,0,0,1,205.75,168.5,243.0,0,0,0,0,0,0,4,674,4,972,26883,221,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5098427,4,4,473,662,473,0,118.25,236.5,662,0,165.5,331.0,222.617681885,1.5691114142,728346.714285714,1885700.16938658,5004017,6,94410,31470.0,52476.2274463399,92056,307,5098421,1699473.66666667,2862404.98157517,5004291,2354,0,0,0,0,136,136,0.7845557071,0.7845557071,0,662,126.1111111111,254.6656849894,64854.6111111111,0,0,0,1,0,0,0,0,1,141.875,118.25,165.5,0,0,0,0,0,0,4,473,4,662,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5095730,4,4,599,972,599,0,149.75,299.5,972,0,243.0,486.0,308.2973391447,1.5699418925,727961.428571429,1885190.76339512,5002485,6,93245,31081.6666666667,52230.707312206,91388,291,5095724,1698574.66666667,2861849.46624754,5002752,1860,0,0,0,0,136,136,0.7849709463,0.7849709463,0,972,174.5555555556,358.7056980002,128669.777777778,0,0,0,1,0,0,0,0,1,196.375,149.75,243.0,0,0,0,0,0,0,4,599,4,972,26883,220,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5106788,4,4,406,972,406,0,101.5,203.0,972,0,243.0,486.0,269.8369307674,1.5665424137,729541.142857143,1885591.37736842,5004822,4,101966,33988.6666666667,57848.7991347559,100786,324,5106782,1702260.66666667,2860791.87584248,5005121,1178,0,0,0,0,136,136,0.7832712069,0.7832712069,0,972,153.1111111111,335.155353696,112329.111111111,0,0,0,1,0,0,0,0,1,172.25,101.5,243.0,0,0,0,0,0,0,4,406,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5105345,4,4,425,662,425,0,106.25,212.5,662,0,165.5,331.0,212.9141125624,1.5669851891,729335.0,1884904.73843127,5003073,3,102272,34090.6666666667,57170.5683226372,100099,281,5105342,1701780.66666667,2859680.28285215,5003374,2174,0,0,0,0,136,136,0.7834925945,0.7834925945,0,662,120.7777777778,246.8763748204,60947.9444444444,0,0,0,1,0,0,0,0,1,135.875,106.25,165.5,0,0,0,0,0,0,4,425,4,662,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5103013,4,4,416,662,416,0,104.0,208.0,662,0,165.5,331.0,211.2477471643,1.5677012777,729001.857142857,1884555.47752862,5001947,4,101066,33688.6666666667,57342.3241099742,99901,287,5103007,1701002.33333333,2859351.91488497,5002208,1163,0,0,0,0,136,136,0.7838506388,0.7838506388,0,662,119.7777777778,245.5044692963,60272.4444444444,0,0,0,1,0,0,0,0,1,134.75,104.0,165.5,0,0,0,0,0,0,4,416,4,662,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5105368,4,4,410,972,410,0,102.5,205.0,972,0,243.0,486.0,270.6954719033,1.5669781297,729338.285714286,1885682.56388509,5004853,3,100515,33505.0,56851.7196661631,99150,272,5105365,1701788.33333333,2861181.16279734,5005116,1366,0,0,0,0,136,136,0.7834890648,0.7834890648,0,972,153.5555555556,335.5350619202,112583.777777778,0,0,0,1,0,0,0,0,1,172.75,102.5,243.0,0,0,0,0,0,0,4,410,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:44,5102751,4,4,458,972,458,0,114.5,229.0,972,0,243.0,486.0,280.2409915749,1.567781771,728964.428571429,1885261.42994898,5003540,4,99211,33070.3333333333,56369.8570189187,98160,276,5102747,1700915.66666667,2860831.01593581,5003846,1051,0,0,0,0,136,136,0.7838908855,0.7838908855,0,972,158.8888888889,340.4660204941,115917.111111111,0,0,0,1,0,0,0,0,1,178.75,114.5,243.0,0,0,0,0,0,0,4,458,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
